count,kwh_peak_sum,kwh_sum_max,ADMD,batch
12,33.1809997,11.267,2.94497201562084,5
13,36.0349998,11.733,3.07125200715929,5
14,36.4279998,12.021,3.03036351385076,5
15,36.8989998,12.105,3.04824451053284,5
16,39.4129997,12.335,3.1952168382651,5
17,40.5289998,12.51,3.23972820143885,5
18,43.4539998,13.12,3.31204266768293,5
19,47.5479997,14.1749999,3.3543562635228,5
20,48.9959997,14.3699999,3.40960334314268,5
21,51.0669998,15.0810001,3.386181251998,5
22,53.0299999,15.3490001,3.45494817607044,5
23,55.0339998,15.7010001,3.50512702690831,5
24,56.3309999,16.2320002,3.4703671270285,5
25,58.6039999,16.7620002,3.49624145094569,5
26,59.9249999,17.3420002,3.45548375094587,5
27,61.2249999,17.7100002,3.45708634718141,5
28,64.1209998,17.8860002,3.58498261673954,5
29,65.8929998,18.88,3.49009532838983,5
1,1.888,1.888,1,6
2,3.845,3.278,1.17297132397804,6
3,5.0299999,3.298,1.52516673741662,6
4,6.373,3.65,1.74602739726027,6
5,8.19,4.229,1.93662804445495,6
6,8.985,4.229,2.12461574840388,6
7,12.5790001,5.223,2.40838600421214,6
8,13.7540001,5.389,2.5522360549267,6
9,16.1790001,5.622,2.87780151191747,6
10,17.4370001,5.643,3.09002305511253,6
11,22.491,7.8379999,2.8694820473269,6
12,24.284,8.0579999,3.01365106743176,6
13,28.3610001,8.7429999,3.24385227317685,6
14,32.9559999,9.4430001,3.48999253955319,6
15,34.7869999,9.7970001,3.55078080483025,6
16,37.1689999,9.9609999,3.73145269281651,6
17,38.4119999,10.1529999,3.78331530368675,6
18,40.2519999,10.2759999,3.91708838961744,6
19,41.2479999,10.5909999,3.89462754125793,6
20,43.747,11.6670001,3.74963569255476,6
21,45.357,11.8260001,3.83536272758868,6
22,49.4039999,12.2720002,4.02574960029743,6
23,51.7369998,12.6500002,4.08988134245247,6
24,52.6939998,12.6500002,4.16553351516943,6
25,53.5179998,12.6500002,4.23067185406052,6
26,54.7029997,12.7850002,4.2786858697116,6
1,2.7160001,2.7160001,1,7
2,4.2520001,3.349,1.26963275604658,7
3,9.2250001,5.991,1.53980973126356,7
4,10.9390001,6.305,1.73497226011102,7
5,12.7390001,6.401,1.99015780346821,7
6,16.2820001,6.643,2.45100106879422,7
7,18.6530002,7.194,2.59285518487629,7
8,21.2200001,7.771,2.73066530691031,7
9,23.0030001,8,2.8753750125,7
10,23.3470001,8.1,2.88234569135802,7
11,24.1180001,8.23,2.93049818955043,7
12,26.2270001,8.459,3.10048470268353,7
13,27.0740001,8.527,3.17509089949572,7
14,29.2120001,8.7850001,3.32521340551835,7
15,30.4820001,9.069,3.36112031094939,7
16,31.4620001,9.24,3.40497836580087,7
17,36.668,10.2969999,3.56103722988285,7
18,37.487,10.5599999,3.54990533664683,7
19,40.049,10.8099999,3.70481039504913,7
20,41.4940001,10.8629999,3.81975517646833,7
21,44.3390001,11.691,3.79257549396972,7
22,45.8910001,11.908,3.85379577594894,7
23,47.5640001,12.3449998,3.8528959797958,7
24,50.5440001,13.127,3.8503847109012,7
25,52.6030001,13.643,3.85567691123653,7
26,57.3879999,14.0640001,4.08048915613987,7
27,59.943,15.1160001,3.96553318360986,7
